text,sentiment
 yep  but I`m going better now,positive
Fun is being had.,positive
$#@! My nose stud fell out and I can`t find it  Looks like I`ll have to head into Amsterdam today and get a new one,negative
_by_spork we shall see,neutral
_other Excellent analogy,positive
Good morning tweeps. Busy this a.m. but not in a working way,positive
" lmao, im only joking mate",neutral
 FOLLOW ME BABY U SAID N DA CHAT U WILL  LUV YA GOODNITE,positive
"been busy at work, now must run before traffic is too bad.",neutral
got a rad new t-shirt from my aunt. Made from some cool shiny shiny pink material.,positive
 it was an awesome talk  find it very true that i am watching the ruby community closely,positive
#f1 in a few hours guess who is sleepin in the living room,neutral
 hahaha niene ur soo smart.! lmao i think that is who its by..  good lookin.. whts up gurlie?? i come home this weekend.!,positive
http://twitpic.com/664oz - this is what happens when i have no models,neutral
"I hereby announce that I am... employed! Couldn`t be happier, Alhamdulillah!",positive
"i juz registered my cp in twitter, but my tweets wont go thru? Argh..Hmm wanna follow my idols lyk  away from the PC..",negative
"Speaking,,,Speaking ...",neutral
Paid all my bills only to go out to the mailbox to find more of them,neutral
" I could, but that would require today not to be a duvet day. I imagine that my outfit for the Wendyhouse will be photo worthy",neutral
" Glad to hear you made it out, I hear that place used to be it`s own country  Looking forward to your arrival!",positive
"found a swing set for sale 2 blocks from home, super cheap. I want it 4 my kids but no one is answering the phone # listed",neutral
So many farewell parties! sad to see people leaving ..,negative
 - Still a pity it comes with no lamb though,negative
 I`ve got cups but you gotta come get them,neutral
"TAKE THAT, TAKE THAT!!!! IN YOUR FACES!!!!!!!!!!!!  Robbie won!",positive
 no other reason? I wonder if she loves you,positive
 happy birthday ness!!,positive
" Wow, I really hope it gets better. Asthma sucks",neutral
feels ..my cousin is a monkey  http://plurk.com/p/x23pa,negative
"charlie and the chocolate factory, in the mood for some johnny depp, then bed. Preparing for a 14 1/2 hour wok day tomorrow",neutral
 wasn`t the 'layers' just absolute positioned divs? Web compability killer,neutral
Don`t you hate it when you`re left with one slice of bread left in the bag? Half sandwich.,negative
Loves random acts of kindness and laughter,positive
"Gha, off to work - hopefully traffic has cleared up by the time I get there!!",positive
Just watched another episode of JONAS. Is it better than Hannah Montana? Very much true!,positive
Going to meet the new family I`m babysitting for... Wish I was still sleeeeping,positive
 Hi Heather. I dont know why... but I just saw your messages from April!! Have not been very twitter friendly...,negative
 I can`t belive you only have one episode to go  ****,neutral
 you can also watch Family Guy online. www.fancast.com  And yes I am a total shill.,neutral
 I know right  Poorpoor girl! It shows why they shouldn`t put young people in competitions like this though (.....) -,negative
NOT excited for 32 people reservation in the morning  **** LOVIN halo3 right now for sure too,neutral
" wowie wooie someone updated their twitter without me having to remind you. I`m not even mad,I`m impressed.  how was the lasagna ?",positive
Today is another good day for some less extreme experiences... Anyone a fan of #24? I`m watching season 4 now,positive
" i was going tonight, but you never wrote me back with the info  im sososo sad...",negative
 still not 100%    im sick of being sick!,negative
_collins I`m not sure I understand how this twitter thing works...,neutral
wat a stressful week i jus hope everything falls into place 4me,negative
with hubby at the dentist ready to hold his hand  and getting nervy about potentially buying a car tomorrow,negative
Aww I got to see my 1st grade teacher`s last day before she retired,positive
" For sure you should continue to Tweet WHILE on conf call, WHILE worrying about cat and bee.",negative
"LOL! Made a huge mess of my school shirt, was using charcoal sticks in 2D art",negative
 when will she b finished,neutral
BGT made me cry tonight,negative
"gawww, why is facebook being so slow?",negative
 im cool  cant wait to hear these stories xoxo,positive
Bird poo update... Managed to clean it all off but some slight stainage remains  any tips?,neutral
Also I was conviced to do a happy dance and then told it was the most adorable happy dance ever,positive
I day til NYC!!!! and the journey soon begins!!! Music baby,neutral
i feel in love with pizza girl... now i eat pizza everyday,positive
 11 30s way early! anyway nigth night  love you!,positive
" If i say PLEASE REPLY TO ME DOUGIE, will you do it? I double dare you",negative
 I`m not either. We should have went out *snicker* Although I am enjoying listening to RR and my beer,neutral
 Hey Esmee. How U doing?,neutral
" MUAHAHAHHAHAHA...   well, maybe they think I`m crazy or something. I haven`t scared  yet though",positive
" nope..not drunk..sometimes I think maybe I should..then maybe Twitter would make sense, ya know!",neutral
today got her POP! t-shirt & lovess ittt  haha x,positive
 EpiCentre Wheelock Place - tourists only..,neutral
"Perfect night. Best month of my life so far!! You my boo, ",positive
 yayy  you`ll can help me im doing my english homeworks which i had to do during the holidays >.<,positive
 hi ya demi! im glad ur back   http://twitpic.com/4vuuy i personally love the picture! haha,positive
" Think you should do a tour in England, we dont got to see any aweomse people !!",negative
'Puke In My Mouth' the brilliant response to **** In My Pants  http://tinyurl.com/cy8z7y  Over the top wrong,neutral
"Good morning. haha I just read that the swine flu probably not come`s from pigs at all, but from people! Poor pigs who got all the blame!",neutral
Is bummed out...i don`t have even one testimonial on Flickr.,negative
 I am sorry that you are feeling that way.,negative
yeah so Prom Night is now the Craft (good movie),positive
"having the flu, not the swinish-one, but the flu.",neutral
 don`t go to logan square we`re pretty sure the shirt isn`t there  1 more philly local tmrw,negative
 You should see our floors before you make that offer.  Let me know if you don`t receive a call soon.,neutral
"    I am sending healthy, healing thoughts in the mumborg`s direction.",positive
"Not at prom. Ha! Chinese, iced chai, and some old school pokemon. Good night",positive
Prayers for my family and my dog - Mozart is being put down this afternoon.   Pics of him at http://tinyurl.com/mozartdog,neutral
"Went on a short flight around the Geelong waterfront.  Surprised at how well I handled it, as I`m still exhausted from last weeks meetup",positive
": I`ll keep y`all in my prayers but welcome back to TX  Hope you have a good,safe flight",positive
Good morning scary world!,negative
"is back at working auditing away, time to make the hard decisions and be happy",positive
 - ummmm. no comment. LOL. I actually have not watched GH in about a week.,positive
" i think u have more than enough friends now, including me lol",neutral
Zs.Nagy presents  http://www.nordugrid.org/manuals.html,neutral
_Layne  hmm.. what`s ur fav movie?? tv shows??,neutral
 <3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform,positive
 Thankfully that face only shows up for photoshoots,positive
" Don`t worry, the bizarre will find you",positive
 Sorry - I have failed to grasp your meaning,negative
"_Walker21 sadly no, I`ll be going to the killumbus show. I really want to but no one wants to drive me there",neutral
" Morning Lou, I Have some housework to do then im off to Church",neutral
Extremely happy to see my new track 'The Awakening' featured on Indivibe   http://www.indivibe.com/vibe.php?city=1,positive
 hahaha n I`m a do the same for u,neutral
"I love my mom! Happy Mother`s Day, mommies",positive
Just Chilling after MCFLY last night! ABSOULUTELY INCREDIBLE! =D i love them!,positive
"God, why can`t I be at #asylum? Really. I never get to do anything cool!",negative
Just got in a fight and kicked out of the bar. At least I knocked him out. Have a fat lip though.  Pulled another number,neutral
"working on mothers day slideshow, cake, card, and balloons  she deserves the best!",positive
"Early bird gets the worm.  And in my case, birder gets to witness the carnage.",neutral
_eat_out,neutral
" Thanks, hope you have a good one",positive
" - You too, thanks for completing  Calvin Appreciated",positive
"Morning everyone sorry for going early last night had bad news, felt totally ****   Today is a new day",negative
"Wow, the new Google icons suck   http://bit.ly/z7JIE",neutral
 Hahah! That was the best! Thank god for Terry he was laughing so hard. I miss him   I remember racing trucks with him that ...,positive
 tell his people to contact my people,neutral
 KILL IT JASMINE! Haven`t talked to you for ages.,negative
got an awesome hair cut todayyyy  it looks so hottt haha doing homework,positive
"You`re never alone Just when you think no one cares, you realize that there` always one person you cares for you",neutral
 someone`s a sweet tooth  i was dying for somethin sweet so i`ve attacked the chock coated tiny teddies all i could find lol,positive
my apple-mouse doesn`t work on my shiny red coffee table...,negative
" (2) in commentary  , I was with her, was sad, very sad",negative
Yet another good weekend with someone. Sigh. Man I like the boy..,positive
"about to head to the Strand, goodnight",positive
 every day of my life lately.    i feel ya girl <3,neutral
 hiya! been looking for you1,positive
" Aw, that stinks, I`m sorry.",negative
Is trying to recover from a broken heart....yet again for the 2nd or 3rd time,neutral
" ach, probably not... they are labeled as MI-5, which I believe was the name used when they aired on BBC America",neutral
 Ha! Did she find out? The only thing Google came up with was some database acronym and 'dibbs' on the front seat aka shotgun,neutral
_witty  yes france/belgium was good  carnt belive how much traffic we hit on the way back,neutral
My comp is being slo w,negative
 you didnt send me the text,neutral
 oh mannn i`m gonna be there tomorroww,neutral
: unfortunately not.  I have to take it to a repair shop or replace it.,negative
 : Come to VietNam to make a live Show Miley. there are so much fans love you at Viet Nam,positive
" 'You guys could have fun in a cardboard box'.. I miss you already, bro.",negative
A little twitter mention on SNL,neutral
Josie`s out of surgery. She`s now officially unable to procreate. And She`s way out of it... Poor medicated baby,negative
I signed up for an account on a political website so I could post a comment but it isn`t working.,negative
_NigerianBoi thanks JT i also enjoyed it i will. r u following me? ill follow u back,positive
Me and mum are lost in grangemouth. Utter hilarity! Totally lost,neutral
 sorry 19/female/atl very lonely,negative
"Feeling awful, new medication is making me nauseous",negative
 inooo arent they just  i wanna just go down there now an meet kyle again.. im too obsessed its not fair!,negative
I need a bear hug  and Im going to camp today!!,neutral
" If I could, I`d send California sunshine your way.",positive
I need a present for my mom.  Could anybody help me ?!,positive
" I am in Weirton Julie, way up North at the tippy top! LOL we don`t think southern WV folks like us too much.",negative
learning how to use twitter,neutral
bad mood and i dont feel good. too bad no one cares,negative
" I love you so much.  Just got into my hiding spot, gonna go check out datalounge",positive
 - Try this one  ,neutral
"  youre diabetic?   so is my dad.  & i might be too, not sure.  are you still allowed to eat sugar throughout the day?",negative
I just really want to sleep butmy eyes won`t let me,negative
 You should check yourz Rayne.,neutral
"_66 I haven`t had slip-ons in years, since my checkered days. Matter of fact I only have my torn up all black classics.",neutral
" Ian and I are going to a matinee tomorrow, or that`s the plan at least...it`s going to be too expensive for 3d at night",negative
He will be here in less than hour,neutral
" I know, but work is so boring. I prefer the  take on life",negative
 Gmorning Hermana! Thank you for your testimonial it is wonderful. Posted already.,positive
 ha. nothing any man does is right on mothers day except for taking kids off mum`s hands for whole day,neutral
"AHHH - Whatchu talkinï¿½ baby?  HAHAHA I canï¿½t believe youu:O heh, actually I can. Life is worth taking risks... http://tumblr.com/xs81qy54s",positive
 Our raid leader made us run drills to practice switching,neutral
" And Clang rocks, so you`re using it, right?  Anyways, according to the comments it`s in apple`s gcc too, dunno how public tho",neutral
"Unlike cierra, i look like poop today. Whatevahh, lol.",neutral
Off to enjoy a Hanami picnic at the cherry tree park. Hope the weather stays nice.,positive
The comp deleted half my apps,negative
"In Whin Park on the swings, victory is all mine right now",positive
Well it would seem that you can enter nine 0s if you are an Individual without a SSN/ITIN or EIN according to Apple.  Hurray!,positive
 because its like ten times better than this place xD and its so beautiful and fun  and they have gold coast hot dogs!! xD,positive
Whole body is sore from moving hundreds of pieces of luggage last weekend.   Guess I should visit the gym more often,neutral
 oh you are too kind,positive
" yeah, so quick! And I`m using the 5mm addi`s I bought on Sat and it makes it even smoother",positive
 I don`t even look at their fabric unless I need polar fleece.   It`s worth the extra $ to go to Needle and Thread.,neutral
Pleeaaasee come out sun,neutral
"  ummm...last night when I DM`d you, you said it was a 'good' question.",positive
" man, I am really sorry",negative
watching the jobros live chat .. not live though  haha.,neutral
wow.. tomorrow and then it`s over. i`ll never see some of those people again. it`s kind of sad.,negative
NCAA Baseball Road 2 Omaha: South Carolina just hit a 3-run homerun. Dagger 2 my heart.    Mason 1 - South Carolina 3..,negative
" I send messages to greg all the time, no answer  its ok I still love o & a, goog luck with your move to Erie.",positive
 the honesty`s to much...........  Sorry couldn`t resist;),neutral
oh ok i always wondered how that worked. i only have the top of my ear done. i dont think i could get anything else pierced,neutral
noooooooo...another headache...hopefully not a migraine,neutral
10.11PM~ todays a drag for me. so bored. im about to get into the romance book so i prob wont be on til the morn  night twitter babes ;),negative
"twitter fam, i`m about to hop back on AIM i went ghost on y`all lolz sowwy",negative
 i make them good girls go bad,negative
Sites that republish my blog`s feed often end up higher than my blog on Google search results,negative
Going to have dinner. bbs,neutral
 we can all but hope... georgia is still wide awake and has the hiccups,neutral
no phone  i knew i should`ve charged it last night. SIGH,neutral
 quite,neutral
oh yes! Level 40,positive
my baby`s off on his adventure. 14.5 hours in the car up to Lake Ann Mi. I admit it. I cried a little when the truck pulled out...,negative
 http://twitpic.com/4uyn9 - I NEED THIS. RIGHT NOW. THIS IS ABSOLUTELY MINDDDD BLOWING  I love this. So much!,positive
frustrated by my stupid iPhone I need a blackberry!!!!,negative
Woo - got a fast mobile broadband connection now,neutral
 But I really want a Sporebat pet.,neutral
I`m still at the mothers day lunch at my uncles house. Having a nice time!,positive
 Oh! I ate pizza last night too!  I stupidly feel closer to you somehow!,positive
" Oh right,sorry,now i get ya,But still 3000 email`s,wow,cool",negative
? I had great time in Boston. Thanks to my baby girl.   http://plurk.com/p/rplmy,positive
 my bad homie,negative
  i'm awake whats for breakfast lulu **** on a shingle ha ha ha,neutral
Good morning everyone,positive
" love this one, especially the shoes  anyway, gmn punya acc lookbook ya? http://lookbook.nu/look/92920",positive
shake shake shake shake shake it,neutral
Raining again,neutral
good morning world,positive
i hope that everyone has been having a great week.  let me know if you think im crazy for hating coffee XD.,neutral
back to br,neutral
Time to put the weapons on the charger for the night.  Sleep tight,neutral
Using tiffys computer...it feels different from mine... the touch is different.,neutral
And ... Happy Mother`s Day to all Moms   You sure are the ? heart of mankind.,positive
 Are they both still talking to you then?,neutral
I want Crimson Gem Saga.  I will just go play RF Guerilla demo repeatedly. I (Mission Failed - YOU DIED) so many times from dicking around,neutral
 lol that was a great movie,positive
will b having my last V tomorow   will have2live off of apples n not caffeine ;( n have2cut down on chocolate bye bye chocy,neutral
I was awoken by loud banging and it continues all day  Good thing I got an early rest last night!,neutral
 Let`s go!,neutral
feels really sick.,negative
Hecks yeah. Jandy timsamlake is too rawesome!,positive
**** internet jus cut me off!  was bout 2 shoot sum guys eye out  ~*~KANDI~*~,negative
 u don`t have school today????,neutral
Not only has it broken but it`s Monday!!Does this mean Monday can be fix`d?  ? http://blip.fm/~5jgio,negative
People at work are stressing me out.,negative
 rt i have had few hearts the past few days on etsy  boo hoo....totally the same for me too ((((((,neutral
love it when my sister brags! but she`s too tired too spell bowling right! haha its ok I <3 her!!,neutral
never trust someone else`s battery operated power tools when you`re in a hurry,positive
 Lol Your tweets are so funny! I met you in Calgary! You`re awesome  Can`t wait for the next HP movie!,positive
is off to work ... still 'recovering' from an amazing and beautiful weekend. Have I mentioned how incredible my friends are??,positive
 so`s the smell of cigarettes and alcohol... at least *i * like it.,positive
All done. No more internship.,neutral
RIP to officer Edwards. May GOD continue to bless his family. What`s up wit cops killing cops. Seen the same thing happen on 'The WIRE'.,neutral
"Invasion of the Old Ladies has just ended, still have to clean up not going to be able to make it to the tweetup tonight.",neutral
`s current goal is to lose 10 pounds by next tuesday! 120 here i come   soooo ready for Gatlinburg!,positive
my best friends bought something which i really want.,positive
" It depends on your goals & how much you want to spend  Cannondale, Specialized and Cervelo are all good brands.",positive
On the phone to mum  http://tinyurl.com/otdn9u,neutral
 me tooo,neutral
My net died so yeah....  I`m sad now,negative
 then am anticipating the next ten days!,neutral
i dont know why i follow sme of the ppl that i do... they e anoying and boring. * note to self -unfollow peeps on monday morning,negative
" yeah, when you start reaching your early-mid-20s",neutral
getting ready to babysit,neutral
Bad migrane and need to go to dancing tonight.... Not a good combination,negative
"Grinding Skyguard rep. This is less awful than I anticipated. Yet, still awful. Last tabard I need",negative
 i dunno if he saw it  happy birthday girl!,positive
 I`m looking forward too see and hear you in Norway!! Live fast!,neutral
 awesome,positive
 actually workin from home tonight...  you?,neutral
 ****! I want to be at the beach in the sun,negative
OH. I am just so tired.,negative
"Well, my dog still isn`t at the shelter. I hope someone good has him",positive
 Well tell me what fashion tips you need and I`m your woman  hehehe,positive
" Hello there, Taylor  I MISS YOU. Its been 2 months </3",negative
i wear a lot of white  http://tinyurl.com/dlbltg,negative
 Always a good idea.,positive
  I remember those days. I wasn`t a big fan of Wesley but I really felt for you as a youngster dealing with all that. But you WON!,neutral
getting nails done!!! how relaxing! benji is only 24 hours away!!!!,positive
" not here for long hun, head hurts",negative
At walmart playing hide and seek.,neutral
 whatever do you mean?,neutral
All of a sudden I`m craving broccoli and cheese soup really bad... my mouth is watering envisioning a bread bowl in my head...,negative
 That it does  just wish more people would notice it,positive
 your test works fine for me  tweetdeck is so cool eh?,neutral
"Wish you were here, babe",positive
This morning I rode behind a guy with a bird cage containing a plastic Tyrannosaurus rex attached to his bicycle. I couldn`t get a photo.,negative
"I love summer, but I oddly don`t want this school year to end.",positive
 lolz at your modesty...***kix rox***...now all the gals will be lined up at your door,positive
"morning, how is everone? sing to me  You tuck me in, Turn out the light, kept me safe and sound at night. (8)",positive
i so can`t be bothered working tomorrow!,positive
 kittens are cute then they grow up n become CATS,positive
 .. Guess ol` Tom has another mission impossible ... some of this is like trying to prove innocence .. I didn`t get hugged,negative
 Hey I was scared last night at 3:17 because of you... and I had several bad nightmares,negative
 gawd. People still remember the preggers comment. Hate you!,negative
oh no my tweetdeck is malfunctioning :O il have web will its fixd,negative
 heeeeey! You abandoned me here on Twitter momma dots?,neutral
 yeah freakin sucks!!,negative
Off the a village May Fayre now.  Bag packed ready to bring back home-made goodies.,neutral
#followfriday _1001 cuz ive never been added to anyone`s followfriday either  & cuz he`s got a cool picture,positive
Sooo tell me how I lost followerzzz,neutral
 - thanks for the reply. Of course it doesn`t really explain it  I googled it but found no explanation.,neutral
looking for people,neutral
wishes that you would see not with your eyes but with your heart.  http://plurk.com/p/sv5bb,positive
 Awwww   i`ve got some photos of cute bunnies,positive
long day and i still have to mow the lawn,negative
Shoot. Only 12 miles,neutral
 why has it been so long since i have talked to you let alone seen you?? it makes me sad,negative
Happy mothers day mom  ?,positive
I want cookies for breakfast! Luckily I`m an adult and can do that!,positive
Mowing #6. I hate my lawn,negative
" you shouldnt have to reset more than once  if it doesn`t work right the first time, something is up",neutral
 yeah.. I left cause my pc can`t run the client anymore. I had thought I would have a new one by now..,negative
Feeling bad for  profile pic,negative
CAPONES island in 2 days!!! my summer is just starting...,neutral
movie then sleep! Today was good day  [{H!--D3ff}],positive
Planing on going on a little ride on the mtb on monday  may be in over to the tower...,neutral
**** fiesta at my house in my mouth  hit me up for the password,neutral
the live version is so much better  ? http://blip.fm/~79my3,neutral
 There`s no pause button in the game of life.,neutral
" that`s black market material right there, my friend!",neutral
is getting married in Vegas in November by an Elvis impersonator am so happy!!!,positive
 tried to join the chat but the site would not let me sign in,negative
 where is home??,neutral
singing songs and filming movies  what i do best,positive
Their songs make me want to cry..,negative
While driving u come across aggressive driving behaviour by another driver. U should... Chase the car 2 tell the driver how to drive,negative
The Mediteranian Kitchen...oh well can`t get them all right.,neutral
 what`s wrong?,neutral
 Wasn`**** totally awesome?  Seeing the rebooted crew was so nice!,positive
"_d thats good to know, and I bet he looks just like you.",positive
_43 HAHHAHAH that really made me laugh out loudd! ahahahahahahahahah your fuunny!!,positive
i so wish i could get pregnant!!,positive
 im trying to fix it.. it doesnt do it  and its 'ahi dios mio' but u did good lol,positive
 Hiya! Missed you too! What have you been up to?,negative
out to play,neutral
Really sick,negative
yay  my `only on sundays` maid came!! the house will be clean again!!!,neutral
"Thx, Robban  http://www.sk-gaming.com/match/17905",positive
 thanks JK!!!  Love ya to death,positive
Going to Al Ain.  Need to check out one store. Hope i find things that I`m looking for.,positive
Geeze- I`m just wondering what is wrong with some people. I either need to go for a run or go to sleep. Tomorrow should be a fun day.,neutral
So my parents are too busy making me feel like **** to realise that I`ve got worse and need to see a doctor again. No sleep sucks,negative
" G`night Jonathan! I tried to stay up, I really did. I can`t wait till ur in my timezone! Will be so much easier then!",positive
Prom is so over rated!! Irritated... Going to bed goodnight,negative
"Look, everyone! I`m a bad boy! I`m ranked higher than Meghan McCain!  http://tinyurl.com/oj76mz",neutral
_rain i wanna see her hair  hows everyone?,neutral
 Or FTRH -- For The Ride Home,neutral
" english screwed up my overall percentage in X, in XII again and probably in adm tests too. **** happens.",negative
 i want chinese food really baaad.,positive
is downloading songs  http://plurk.com/p/rp8wx,neutral
" I almost said, 'and grammer no exist either' grunt.  But I stopped myself",neutral
"_d you`re gonna take good care of that little baby and he`s gonna be a strong boy, that`s for sure",positive
 ha! lemme know what you find (tho I suspect it will be a lot of complaints). Have a peaceful night my friend,positive
seeing shane dawson videos,neutral
  sad face.,negative
Aaaaahhhh.... Friday!!!! but.......     Funeral at 5,negative
Already misses ,negative
"_laura_LP ok thanks for the help! I hope they respond to me sooner or later, then! thanks!",positive
  out of commish for a few days in ATL with fam.  Just saw the updates to the .net website... Looks AWESOME!,positive
" awww that sucks  also, when i finish uni, you should totally have a mini housewarming. yes, work it around my schedule, LOL.",negative
at famous dave`s with my mom. so hungry.,neutral
 I would vote for you Miley but I live in Ireland  You`ll be fine  Good luck! Slï¿½n!(bye in irish ) Sorcha xxxx,positive
"home for the nite, sleeping on the pull out bed with Maggie. wishing it was _durden  I got to find a apt",neutral
"Oh..Summer begins..yay..  The fighting, Crying and stress has started with the kids..It`s only been 3 hrs since they got out.",negative
I feel so deflated. No more doggy.,negative
 sad about young love coming to an end  They were sooo cute together!,neutral
 Omg really??  I sowwy! I`ll do it again! :-p I was tired when I did that this morning. :-p lol!,negative
"owww, back pain  hm, walmart or no? i could get cupcakes~",negative
 i can`t believe that you guys are gonna stay just one day here in Rio de Janeiro again,neutral
Making my boyfriend look different.  He`s  cute no matter what. <3,positive
 LOL thx,positive
is working until 11 tonight  http://plurk.com/p/x2kbv,neutral
 well there go my peace corps prospects.,positive
rmbr the time when we torned for the night in sentosa? I was the only one who didnt have to spit out the ' 3 unknown facts' abt myself,neutral
" Good idea! I`ll have to remove all the old receipts, tissue paper and other nonsense before I can take a pic",positive
"whatever will be, will be",neutral
Wango tango!!! Good night all,neutral
 i`m not in the best financial situation myself at the moment. i`m beyond broke. my money is spend as soon as i earn it atm,negative
 hello you!  you should totally go to the biggest shopping center in Europe and we can go shopping together   ****,neutral
Fixing openbox theme a little,neutral
Selling my laptop for CHEAP if anyone`s interested!  17' Toshiba 1.3gig ram,neutral
"If recent experience is anything to go by, I fear I might be going off Indian food. This is not good, people. Not good",negative
 i wish i wasn`t all  bummed but i kinda am,positive
 Hey Mitchel when will you be live again? I didn`t get a chance to call you,negative
looking at the sunshine out of my office window,neutral
Back is SORE... should not have done that jump last night,negative
 We are working,neutral
'Brides a la mode' pow wow first thing this morning   This past weekend`s lovely wedding fresh in my mind... pics soon!,positive
"Just got my paycheck... April bonus can b deposited 2day the rest, gotta wait til Mon.",neutral
nope no way in to stop  just have to put up wiv it,neutral
I recommend returning your broken duck toy with the batteis it came with or the person who your giving it to may get mad!!  trust me!,neutral
" Not so much a substitute as a variation. Ate too much, too. Oof",neutral
"such beautiful weather.. .why are u sick, baby ?  @ tanapolis",positive
 Oui mademoiselle. You can barely turn around these days without bumping into one.,neutral
Flickr pics Chester Zoo: danwtmoon posted a photo:   'WELCOME' to Chester Zoo by Jockey  http://tinyurl.com/cq7qw8,neutral
Woke up and watched Jon and Kate plus eight. I tried to pretend like they were still a normail family,neutral
 your`e a freak,neutral
 i dont even know now lenaaa  when you going clothes show?,neutral
_jane yay! buti nagustuhan nyo. isang bar lang enclosed ko sa mail.  to test if matutunaw or hindi. next time uli.,neutral
Memories,neutral
 Yep. Nothing to worry about.,positive
back to work tomorrow  whose idea was it to go back on a saturday?!? Oh wait... that would be mine. FAIL.,negative
" Going to start very small, like $0.10 or $0.50  Then slowly to higher stakes",neutral
 Make a videoblog!,neutral
reading Evermore by Lynn Viehl.,neutral
Wow what a storm we just had!!! Now no power,positive
getting my phone back this week  yeeeewww,positive
back from school  daily show was amazing  gonna watch it again later i think xD,positive
_breez Yer please do! Have a good day!,positive
#musicmonday Epic song. (Y)  ? 'Lights and Sounds' by Yellowcard ~ http://tinyurl.com/db7ppm,neutral
 hot cuppa coffee made with milk & fortified with Monin`s Irish Coffee syrup! Bliss!,positive
right im out of here peeps.. i hope  fixes twitter mobile so i can tweet from the race.. m.twitter has been down for 4 days  #fail,positive
"My anticipated meet up with Tapan Parikh is no more  apparently he wont pass by Nairobi, and will head straight from Mombasa",neutral
watching Army Wives and it always makes me cry,negative
productive day 1,positive
Rest In Peace  ADaM 12 & GLeNN EPPS.... Gone but never forgotten... what a week ...Loud in da air 4 ya,neutral
 gotta love the summer,positive
Marking going ok so far A`s and B`s so far - relieved it looks like I have future programmers in class,neutral
" alas no, it`s just a normal night  monday is quiz night",neutral
Did anyone go photographing today? I managed to get a few macro shots of some flowers that were blooming,neutral
_buckley Good morning from sunny London...sounds like an oxymoron but happens to be true of today  Hurrah!,positive
 Cool. That`d be fantastic!,positive
live on stickam.com/itstyleryo COME CHAT!,neutral
   But  is right: This is like the Cape Breton coal mines but ++. No lessons learned.,neutral
" Yes, but I`m quite rusty.  I`m hoping to get back to it and 'tune up' my skills.  Tim plays guitar.  We threaten duets.",negative
Hey everybody!  hah this day is cool! just got back from walk with the dog...  OMGosh! Send me the link again please!,positive
 srry im not so interesting right now... stayed up til 6am cause my tummy hurt and now im pooped and have to work,negative
 me because I might not have enough money for college!!!,negative
lol! woow okay its not that big of a deal,neutral
I love how when I leave my laptop on my bed it creates a nice toasty spot,positive
 I mean someone hit a dog with a car. It was just laying there,neutral
 Does it start tomorrow?  I was going to book Sam on that and forgot,negative
" salt and vinegar, cheese and onion make your breathe smell lol  ****",negative
 You`re welcome. There!  I added you already!,positive
"_rose Mornin` !  Missed dance time, so I guess I will have to dance extra hard tomorrow...",neutral
" Sorry to hear about your dude probs, what is it that`s too much?",negative
Discovered that Numpy arrays can hold values of any type.  Useful for manipulating arrays of numbers with uncertainties.,negative
"maybe i should take up drinking again, feel as if i have a ,massive hangover  still not ,yself today",negative
just downloaded the tweet deck....look at my and my saviness,neutral
TODAY FRIDAY: I really hope you will read my messages here and reply to me soon. I could not reach you by phone before you go to work.,positive
 whatever i know you like it.  HAHAHHAH!,positive
oh no! my fun weekend with friends is gone! my mother has made a family weekend of it!  ****,negative
Good morning twitterland. Happy Monday,positive
Writing reports....,neutral
thanks timmy.  turns out he has strep and a high fever.,positive
" oh, that is very nice!! I will do something nice next week ~ going to Madrid next weekend for few days",positive
keeping it chilled.,positive
what a beautiful day not to got to my first class,positive
 Fabulous. And I didn`t get that pic  Gmail be acting the fool sometimes. Can u DM me it?,positive
" yeah, it`s terrible  cockatoos are the hardest to live with, so emotional. good thing he found you, though!!",neutral
_ that sucks!,negative
 yes it does,positive
_datti Thanks sankar for ur wishes,positive
"I love waking up and thinking it`s a weekday, but then realizing it`s the weekend.",positive
" sorry bout the cat,",negative
 You`re the only person to have joined in  #penilewords,neutral
Up and washed  I`m clothing myself as I type xD WOOOO,positive
 miss u too. I`m still at a club...u know...west coast ****!,negative
 love love love pot psycology. My Friday night treat,positive
Happy Star Wars Day  May the fourth be with you!,positive
 Playing with lighters fire matches and grass,neutral
_art That would be the one.  It`s awesome sauce.,positive
"Bucky, my ferret officially has insulinoma  Now on daily prednisone. Had interview with p-doc today, have to go back monday for testing.",neutral
" I`ve never been to Prague, but if i had the money, it`ll be in the 10 first cities I visit",positive
coffee time,neutral
" He was creepy for me at first, but I did really grow to like him. I cried like a baby when he and Tosh died.",neutral
"_ really!? that son of a ****, screw him, ill talk to on msn later k  xox",negative
" We didn`t...but we did have to wait a good twenty minutes for one.  Good night, though!",positive
 I always hope they will die out but then i see the the old ones and it makes me sad,negative
" thanks Alen, it seems that we can only submit community news, is this an error, or must we prove ourselves",neutral
 don`t follow me. You will ruin my twitter experience,negative
Blah to car repairs... almost 600 dollars...   Shopping around for a better deal.,negative
Weetabix and Choco milk  Yum!,positive
 me too!,neutral
I`m sad to have lost another person close to me to cancer,negative
_me Thanks! Kinda bittersweet though,neutral
_Nutbar Good morning  how are you? #TwitterTakeover,positive
First time to Twitter..,neutral
Captain Jack is back,neutral
"_la ben`s dreams make me so saddddddd  i want them to be togetherrr. i swear if this **** gets me bawlinggg, so help me..",negative
